"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_002083.1","1",202,3,21,45,78.5891089108911,111,522,85.7908742795513,231,419.52,"Q100","Q100","Q100"
"NC_002083.1","2",285,3,12,30,54.7824561403509,63,390,67.8786850809025,198.6,319.44,"Q100","Q100","Q100"
"NC_002083.1","3",294,3,12,27,52.8979591836735,63,531,69.0710407100026,172.05,337.05,"Q100","Q100","Q100"
"NC_002083.1","-1",323,3,12,27,47.8792569659443,60,393,53.0513138158032,149.7,234.719999999999,"Q100","Q100","Q100"
"NC_002083.1","-2",457,3,9,18,32.746170678337,42,300,39.6603605797137,117,184.32,"Q100","Q100","Q100"
"NC_002083.1","-3",361,3,9,21,42.5152354570637,54,705,60.8792558677736,141,242.999999999999,"Q100","Q100","Q100"
"NC_071985.2","1",3839207,3,15,39,57.7256792874153,75,10452,66.5062669683539,177,297,"Q100","Q100","Q100"
"NC_071985.2","2",3839055,3,15,39,57.7278668839076,75,11079,66.9082688256656,177,297,"Q100","Q100","Q100"
"NC_071985.2","3",3836613,3,15,39,57.7664588531603,75,10659,66.7512541070608,177,297,"Q100","Q100","Q100"
"NC_071985.2","-1",3837320,3,15,39,57.7538751003305,75,10452,67.131270124196,177,300,"Q100","Q100","Q100"
"NC_071985.2","-2",3831941,3,15,39,57.8390463214334,75,11199,67.1018188254161,177,300,"Q100","Q100","Q100"
"NC_071985.2","-3",3830682,3,15,39,57.8592310716473,75,21309,67.8907029999098,177,300,"Q100","Q100","Q100"
"NC_071988.2","1",3741231,3,15,36,53.7288309649952,72,8475,60.7446676042166,162,270,"Q100","Q100","Q100"
"NC_071988.2","2",3737912,3,15,36,53.7792821232817,72,8361,61.3532850641043,165,273,"Q100","Q100","Q100"
"NC_071988.2","3",3738525,3,15,36,53.7705817133762,72,8217,60.8987804147538,165,273,"Q100","Q100","Q100"
"NC_071988.2","-1",3742494,3,15,36,53.7108206452702,72,8247,60.9493324289157,165,264,"Q100","Q100","Q100"
"NC_071988.2","-2",3747847,3,15,36,53.6304174103159,72,8190,60.4904941135465,162,264,"Q100","Q100","Q100"
"NC_071988.2","-3",3745039,3,15,36,53.6727780404957,72,8082,60.5519361922922,162,264,"Q100","Q100","Q100"
"NC_071989.2","1",3283455,3,15,36,54.7940836710112,72,10533,62.1920835372245,168,276,"Q100","Q100","Q100"
"NC_071989.2","2",3286497,3,15,36,54.7394870587133,72,5394,61.7877781133942,165,276,"Q100","Q100","Q100"
"NC_071989.2","3",3288261,3,15,36,54.7078662551422,72,5343,61.7232595129971,165,276,"Q100","Q100","Q100"
"NC_071989.2","-1",3273177,3,15,36,54.9897875977987,75,3915,61.6422792084203,168,276,"Q100","Q100","Q100"
"NC_071989.2","-2",3276071,3,15,36,54.9372089310641,72,5343,61.1505362952504,168,276,"Q100","Q100","Q100"
"NC_071989.2","-3",3272303,3,15,36,55.0046190710335,72,3852,61.4319299050813,168,276,"Q100","Q100","Q100"
"NC_071990.2","1",2991264,3,15,36,54.5263266632434,72,6936,62.0634233183604,165,276,"Q100","Q100","Q100"
"NC_071990.2","2",2990798,3,15,36,54.5353671495033,72,10893,62.6303059394654,165,276,"Q100","Q100","Q100"
"NC_071990.2","3",2993871,3,15,36,54.4762913966567,72,7905,61.6620980635346,165,276,"Q100","Q100","Q100"
"NC_071990.2","-1",2995211,3,15,36,54.4454250468498,72,10938,61.9906818092323,165,276,"Q100","Q100","Q100"
"NC_071990.2","-2",2999289,3,15,36,54.3662824756134,72,10983,61.7296876781468,165,276,"Q100","Q100","Q100"
"NC_071990.2","-3",2998302,3,15,36,54.3850532734861,72,11259,62.2654829749846,165,276,"Q100","Q100","Q100"
"NC_071991.2","1",2643676,3,15,36,56.1976267137122,75,44370,72.8715003358499,171,291,"Q100","Q100","Q100"
"NC_071991.2","2",2641095,3,15,36,56.2547466107807,75,11886,66.7417367979088,171,291,"Q100","Q100","Q100"
"NC_071991.2","3",2641036,3,15,36,56.2572217872078,75,11976,66.7640683385968,171,291,"Q100","Q100","Q100"
"NC_071991.2","-1",2643056,3,15,36,56.2133689184036,75,7239,65.6227022675535,171,291,"Q100","Q100","Q100"
"NC_071991.2","-2",2645594,3,15,36,56.1549599069245,75,7608,65.2681749299588,171,291,"Q100","Q100","Q100"
"NC_071991.2","-3",2637417,3,15,36,56.3405180144057,75,9717,65.8558443277103,171,291,"Q100","Q100","Q100"
"NC_071992.2","1",2713848,3,15,36,56.3752531460863,75,5685,66.8608298230506,171,294,"Q100","Q100","Q100"
"NC_071992.2","2",2711406,3,15,36,56.4292108964869,75,13341,67.4948090000576,171,294,"Q100","Q100","Q100"
"NC_071992.2","3",2712117,3,15,36,56.413898441697,75,8247,67.0359631662057,171,294,"Q100","Q100","Q100"
"NC_071992.2","-1",2699307,3,15,36,56.7076282912614,75,7362,68.2614755282941,171,291,"Q100","Q100","Q100"
"NC_071992.2","-2",2703180,3,15,36,56.6217418003981,75,6237,67.4412535997033,171,291,"Q100","Q100","Q100"
"NC_071992.2","-3",2700806,3,15,36,56.6736285390361,75,20043,68.3765867383753,171,291,"Q100","Q100","Q100"
"NC_071993.2","1",2297703,3,18,39,58.1210421886554,78,7887,66.1610833031957,177,300,"Q100","Q100","Q100"
"NC_071993.2","2",2296533,3,18,39,58.15142173006,78,6372,65.6313681607726,177,300,"Q100","Q100","Q100"
"NC_071993.2","3",2293907,3,18,39,58.2220430034871,78,5355,66.0928293435591,177,300,"Q100","Q100","Q100"
"NC_071993.2","-1",2301694,3,15,39,58.0311548798407,78,6948,66.5830907719335,174,294,"Q100","Q100","Q100"
"NC_071993.2","-2",2303088,3,15,39,57.9941187657615,78,6372,67.0866831014812,174,294,"Q100","Q100","Q100"
"NC_071993.2","-3",2302959,3,15,39,57.9983490804656,78,5853,66.6898369127185,174,294,"Q100","Q100","Q100"
"NC_071994.2","1",2254384,3,15,39,58.2474999822568,75,8301,70.4556019022785,177,306,"Q100","Q100","Q100"
"NC_071994.2","2",2264540,3,15,39,57.9707927437801,75,18072,72.007458266942,177,303,"Q100","Q100","Q100"
"NC_071994.2","3",2258449,3,15,39,58.1353845050297,75,5847,69.5921300166241,177,306,"Q100","Q100","Q100"
