"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_001646.1","1",254,3,15,34.5,61.4173228346457,80.25,582,75.2784492143974,182.1,353.82,"Q100","Q100","Q100"
"NC_001646.1","2",294,3,12,31.5,52.5680272108844,59.25,651,70.9236511925599,186.15,297.99,"Q100","Q100","Q100"
"NC_001646.1","3",236,3,18,36,66.2838983050847,84.75,663,84.2368994502639,219.75,418.65,"Q100","Q100","Q100"
"NC_001646.1","-1",392,3,9,21,38.5255102040816,48.75,462,47.0086715866616,122.7,216.54,"Q100","Q100","Q100"
"NC_001646.1","-2",342,3,12,24,44.6228070175439,54,525,61.4180507369,167.55,270.779999999999,"Q100","Q100","Q100"
"NC_001646.1","-3",381,3,9,24,39.7349081364829,51,255,45.3466248300618,138,210.6,"Q100","Q100","Q100"
"NC_072373.2","1",3795998,3,15,39,57.6309234093379,75,11079,66.713840331409,177,297,"Q100","Q100","Q100"
"NC_072373.2","2",3800146,3,15,39,57.5647446177068,75,7338,66.3813395760745,177,297,"Q100","Q100","Q100"
"NC_072373.2","3",3793487,3,15,39,57.6711207920312,75,12231,67.1394107662379,177,297,"Q100","Q100","Q100"
"NC_072373.2","-1",3797183,3,15,39,57.6094525862989,75,8061,66.6578682069164,177,300,"Q100","Q100","Q100"
"NC_072373.2","-2",3797585,3,15,39,57.6030429865296,75,8958,66.8409230285221,177,300,"Q100","Q100","Q100"
"NC_072373.2","-3",3792532,3,15,39,57.6837856608724,75,8712,67.0050743322408,177,300,"Q100","Q100","Q100"
"NC_072376.2","1",3638079,3,15,36,52.8403827954259,69,10737,60.031634312487,162,264,"Q100","Q100","Q100"
"NC_072376.2","2",3642663,3,15,36,52.7689728640832,69,10764,59.6032281510062,162,264,"Q100","Q100","Q100"
"NC_072376.2","3",3641186,3,15,36,52.7922300591071,69,10800,59.880140807933,162,264,"Q100","Q100","Q100"
"NC_072376.2","-1",3631619,3,15,36,52.9426834147525,69,10629,60.3182823452124,162,267,"Q100","Q100","Q100"
"NC_072376.2","-2",3625029,3,15,36,53.0433105500673,72,10740,60.778806343329,162,270,"Q100","Q100","Q100"
"NC_072376.2","-3",3626446,3,15,36,53.0214981830696,69,10674,60.7999523582614,162,267,"Q100","Q100","Q100"
"NC_072377.2","1",3229108,3,15,36,54.5240165395521,72,10533,61.9893483537017,165,276,"Q100","Q100","Q100"
"NC_072377.2","2",3228209,3,15,36,54.5402048008663,72,6741,61.4781954874696,165,276,"Q100","Q100","Q100"
"NC_072377.2","3",3226905,3,15,36,54.5649025924221,72,6585,61.610566571645,165,276,"Q100","Q100","Q100"
"NC_072377.2","-1",3220852,3,15,36,54.6813287291686,72,6426,61.5717480481863,165,276,"Q100","Q100","Q100"
"NC_072377.2","-2",3220482,3,15,36,54.6870965277868,72,3852,61.2351604837211,165,276,"Q100","Q100","Q100"
